分类: 卫视频道, 名称: 三沙卫视, 有效: 11, IPv4: 33, IPv6: 9, 最小延迟: 72 ms, 最高速率: 24.92 MiB/s, 平均速率: 13.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.73, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 金鹰卡通, 有效: 6, IPv4: 185, IPv6: 29, 最小延迟: 79 ms, 最高速率: 24.93 MiB/s, 平均速率: 22.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 卡酷少儿, 有效: 8, IPv4: 102, IPv6: 27, 最小延迟: 65 ms, 最高速率: 27.84 MiB/s, 平均速率: 21.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 嘉佳卡通, 有效: 4, IPv4: 130, IPv6: 15, 最小延迟: 72 ms, 最高速率: 18.20 MiB/s, 平均速率: 15.35 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.11, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 优漫卡通, 有效: 2, IPv4: 96, IPv6: 30, 最小延迟: 71 ms, 最高速率: 26.50 MiB/s, 平均速率: 26.05 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 哈哈炫动, 有效: 5, IPv4: 75, IPv6: 28, 最小延迟: 51 ms, 最高速率: 26.35 MiB/s, 平均速率: 22.20 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 广西频道, 名称: 防城港新闻综合, 有效: 0, IPv4: 2, IPv6: 4, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 广西频道, 名称: 防城港公共, 有效: 0, IPv4: 2, IPv6: 4, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 广西频道, 名称: 钦州公共, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 广西频道, 名称: 钦州新闻综合, 有效: 0, IPv4: 0, IPv6: 4, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 广西频道, 名称: 广西都市, 有效: 6, IPv4: 16, IPv6: 4, 最小延迟: 70 ms, 最高速率: 6.50 MiB/s, 平均速率: 5.91 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 广西频道, 名称: 广西新闻, 有效: 6, IPv4: 18, IPv6: 6, 最小延迟: 51 ms, 最高速率: 6.36 MiB/s, 平均速率: 5.51 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 广西频道, 名称: 广西影视, 有效: 5, IPv4: 16, IPv6: 4, 最小延迟: 54 ms, 最高速率: 6.91 MiB/s, 平均速率: 5.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.83, 视频编解码器: h264, 音频编解码器: aac
